movie_title,recommended_titles
Taxi Driver,"Open Hearts, Citizen Kane, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power"
Run Lola Run,"Taxi Driver, Scarface, Eternal Sunshine of the Spotless Mind, Miami Vice, Four Rooms"
Back to the Future,"Taxi Driver, Dont Look Back, Absolute Power, Four Rooms, Pirates of the Caribbean: Dead Man's Chest"
Predator,"Anatomy of a Murder, Back to the Future, The Dark, Judgment Night, American History X"
Snatch,"Predator, Four Rooms, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power"
Three Colors: Blue,"Three Colors: White, Back to the Future, Three Colors: Red, Finding Nemo, Forrest Gump"
Three Colors: White,"Three Colors: Blue, Predator, Three Colors: Red, Finding Nemo, Beverly Hills Cop II"
Three Colors: Red,"Three Colors: Blue, Snatch, Three Colors: White, Finding Nemo, The Dark"
Scarface,"Three Colors: Red, Four Rooms, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power"
Italian for Beginners,"Finding Nemo, Scarface, Mifune, Ariel, Groundhog Day"
"Spring, Summer, Fall, Winter... and Spring","Finding Nemo, Jarhead, Talk to Her, Walk the Line, Billy Elliot"
Pretty Woman,"Spring, Summer, Fall, Winter... and Spring, Finding Nemo, Scarface, Mifune, Groundhog Day"
The Big Lebowski,"Shadows in Paradise, All About My Mother, Pretty Woman, Indiana Jones and the Last Crusade, Armageddon"
Match Point,"The Big Lebowski, Bad Education, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power"
The Untouchables,"Match Point, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power, Lock, Stock and Two Smoking Barrels"
Charlie and the Chocolate Factory,"The Untouchables, Spirited Away, Run Lola Run, The Endless Summer, Unforgiven"
The Lord of the Rings: The Fellowship of the Ring,"The Fifth Element, Unforgiven, The Big Lebowski, Match Point, The Untouchables"
The Lord of the Rings: The Two Towers,"The Dark, Magnetic Rose, The Big Lebowski, Match Point, The Untouchables"
The Lord of the Rings: The Return of the King,"The Fifth Element, Unforgiven, The Big Lebowski, Match Point, The Untouchables"
The Lord of the Rings,"The Lord of the Rings: The Fellowship of the Ring, Charlie and the Chocolate Factory, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, Memento"
No End,"The Lord of the Rings, Donnie Darko, Forrest Gump, Jarhead, Talk to Her"
Blind Chance,"Forrest Gump, Jarhead, Talk to Her, Walk the Line, Billy Elliot"
Princess Mononoke,"Before Sunset, Blind Chance, The Lord of the Rings: The Return of the King, Spirited Away, The Endless Summer"
Spirited Away,"Princess Mononoke, Before Sunset, Blind Chance, The Untouchables, The Lord of the Rings: The Return of the King"
The Rolling Stones: Gimme Shelter,"Spirited Away, Dont Look Back, My Life Without Me, Beverly Hills Cop, Land Without Bread"
Primary,"My Life Without Me, Beverly Hills Cop, Land Without Bread, The Rolling Stones: Gimme Shelter, Spirited Away"
"O Brother, Where Art Thou?","Primary, Open Water, The Elementary Particles, Dirty Dancing, The Endless Summer"
Dont Look Back,"Spirited Away, O Brother, Where Art Thou?, Metropolis, Indiana Jones and the Last Crusade, Beverly Hills Cop"
Freaks,"Dont Look Back, Forrest Gump, Jarhead, Talk to Her, Walk the Line"
Groundhog Day,"Freaks, Finding Nemo, Scarface, Mifune, Ariel"
Dracula,"Groundhog Day, Dont Look Back, Dancer in the Dark, Ariel, Shadows in Paradise"
Mifune,"Finding Nemo, Scarface, Dracula, Ariel, Freaks"
Bad Education,"The Big Lebowski, Mifune, Pirates of the Caribbean: Dead Man's Chest, 8 Mile, Absolute Power"
Donnie Darko,"Bad Education, American Beauty, The Lord of the Rings, Snatch, Three Colors: Blue"
