movie_title,recommended_titles
Paradise Now,"Another Day in Paradise, Shoot on Sight, Shoot the Piano Player, Elevator to the Gallows, Jesse Stone: Death in Paradise"
Brazil,"The Sheriff and the Satellite Kid, Why Did You Pick On Me?, Amazon Women on the Moon, Spaceballs, Dark Star"
Walk the Line,"The Guitar, The Rose, The Thing Called Love, The Jazz Singer, The Hottest State"
Million Dollar Baby,"Baby Love, Angel Baby, Class Action, Irina Palm, The Christmas Shoes"
Billy Elliot,"Taking Woodstock, Follow That Dream, The Commitments, Billy Liar, Kabhi Haan Kabhi Naa"
American History X,"American Flyers, American Son, American Violet, American Pastime, American Beauty"
War of the Worlds,"The War of the Worlds, Battle of the Worlds, War of the Worlds 2: The Next Wave, H.G. Wells' War of the Worlds, Planet of the Apes"
Mars Attacks!,"Abbott and Costello Go to Mars, Princess of Mars, Toys, Delicatessen, Howard the Duck"
Before Sunrise,"Before Sunset, Before The Rains, Sunrise: A Song of Two Humans, Children of Paradise, In the Mood for Love"
Memento,"Mirage, The Woman in Green, Shattered, Sleuth, Secret of the Blackbirds"
Blade Runner,"No Blade of Grass, Panic in Year Zero!, Stranded, The Day the Earth Stood Still, MW"
Hero,"Hero Wanted, Hero, Everyone's Hero, Rabbit-Proof Fence, Lions for Lambs"
Before Sunset,"Before Sunrise, Before The Rains, In the Mood for Love, Kabhi Alvida Naa Kehna, Brokeback Mountain"
Nausicaä of the Valley of the Wind,"The Lord of the Rings, Pokémon: Lucario and the Mystery of Mew, The Phantom Tollbooth, The Adventures of Prince Achmed, Cardcaptor Sakura: The Movie"
Miami Vice,"Vice, Miami Blues, Reno 911!: Miami, Fire Down Below, Transporter 3"
Open Water,"Open Water 2: Adrift, Open Your Eyes, Dark Water, Open City, Restraint"
Raiders of the Lost Ark,"The Mask of Zorro, The Legend of Zorro, Indiana Jones and the Temple of Doom, Indiana Jones and the Kingdom of the Crystal Skull, The 36th Chamber of Shaolin"
The Elementary Particles,"The Child, The Remains of the Day, The Reader, The Princess and the Warrior, The Silence"
Indiana Jones and the Temple of Doom,"Indiana Jones and the Kingdom of the Crystal Skull, Indiana Jones and the Last Crusade, Raiders of the Lost Ark, The Story of Robin Hood and His Merrie Men, The Legend of Zorro"
Dirty Dancing,"Dirty Dancing: Havana Nights, Love n' Dancing, Flashdance, Step Up 2: The Streets, Raise Your Voice"
Indiana Jones and the Last Crusade,"Indiana Jones and the Temple of Doom, Indiana Jones and the Kingdom of the Crystal Skull, An Empress and the Warriors, Raiders of the Lost Ark, The Story of Robin Hood and His Merrie Men"
Beverly Hills Cop,"Beverly Hills Cop II, Beverly Hills Cop III, Bon Cop Bad Cop, Cop Out, Beverly Hills Ninja"
Land Without Bread,"The End of the Line, Nanook of the North, Alaska: Spirit of the Wild, Chung Kuo - Cina, Valentino: The Last Emperor"
Megacities,"Shadow Company, Primary, Comandante, Full Tilt Boogie, Protocols Of Zion"
Anatomy of a Murder,"Memories of Murder, Murder, My Sweet, Edge of Darkness, House of Games, The Limits of Control"
Armageddon,"The Core, Predator, The Abyss, Serenity, Moonraker"
Beverly Hills Cop II,"Beverly Hills Cop, Beverly Hills Cop III, Bon Cop Bad Cop, Cop Out, Beverly Hills Ninja"
Tron,"TRON: Legacy, The Last Starfighter, Dune, Total Recall, The Avengers"
Gladiator,"Gladiator 1992, Wolf, The Musketeer, The Snow Walker, Milarepa"
All About My Mother,"All About Actresses, My Father and My Son, About Schmidt, My Father the Hero, All in"
"Lock, Stock and Two Smoking Barrels","Emil and the Detectives, Arsenic and Old Lace, Fun with Dick and Jane, Take the Money and Run, Quick Change"
Leon: The Professional,"The Silence of the Lambs, The Bandit, The International, The Narrows, The Town"
Open Hearts,"Desert Hearts, Random Hearts, Lady Chatterley's Lover, My Brilliant Career, Not Easily Broken"
Taxi Driver,"The Driver, The Domino Principle, Blondie Johnson, Polytechnique, Murder in the First"
Run Lola Run,"Run, Simon, Run, Nowhere to Run, Run, Man, Run, The Million Game, Run Bitch Run"
Back to the Future,"Back to the Future Part II, Back to the Future Part III, The Hitchhiker's Guide to the Galaxy, Guest from the Future, Honey, I Shrunk the Kids"
Predator,"Predator 2, AVP: Alien vs. Predator, Aliens vs Predator: Requiem, Armageddon, The Second Arrival"
Snatch,"Swimming Pool, Hollow Triumph, Drive a Crooked Road, Cape Fear, Get Carter"
Three Colors: Blue,"Three Colors: White, Three Colors: Red, The Three Faces of Eve, Dancing at the Blue Iguana, Blue Velvet"
Three Colors: White,"Three Colors: Blue, Three Colors: Red, Primary Colors, Three Ages, The Hospital"
Three Colors: Red,"Three Colors: Blue, Three Colors: White, Possession, Fur: An Imaginary Portrait of Diane Arbus, The Apartment"
Scarface,"Scarface, Pusher, An Innocent Man, Miami Blues, Walking Tall: Lone Justice"
Italian for Beginners,"Puccini for Beginners, School for Seduction, School for Scoundrels, Station for Two, Starter for 10"
"Spring, Summer, Fall, Winter... and Spring","Early Spring, Late Spring, Manon of the Spring, Blood and Bones, Live and Become"
Pretty Woman,"Designing Woman, The Woman in Red, Woman of the Year, A Woman Is a Woman, A Good Woman"
The Big Lebowski,"The Big Bounce, The Freshman, The Sucker, The Baker, The Ladykillers"
Match Point,"Point Blank, Point of No Return, Vantage Point, American Gigolo, Pretty Poison"
The Untouchables,"The Departed, The Silence of the Lambs, The Town, The Sniper, The Bandit"
Charlie and the Chocolate Factory,"Jack and the Beanstalk, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The Boy and the Pirates, Willy Wonka & the Chocolate Factory, The Love Bug"
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Return of the King, The Lord of the Rings: The Two Towers, Pirates of the Caribbean: The Curse of the Black Pearl, Sword of the Valiant: The Legend of Sir Gawain and the Green Knight, The Mummy: Tomb of the Dragon Emperor"
The Lord of the Rings: The Two Towers,"The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring, Pirates of the Caribbean: The Curse of the Black Pearl, The Mummy: Tomb of the Dragon Emperor, Sword of the Valiant: The Legend of Sir Gawain and the Green Knight"
The Lord of the Rings: The Return of the King,"The Lord of the Rings: The Two Towers, The Lord of the Rings: The Fellowship of the Ring, Pirates of the Caribbean: The Curse of the Black Pearl, Sword of the Valiant: The Legend of Sir Gawain and the Green Knight, The Mummy: Tomb of the Dragon Emperor"
The Lord of the Rings,"The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring, Nausicaä of the Valley of the Wind, The Adventures of Prince Achmed, The Lord of the Rings: The Two Towers"
No End,"The Lovely Bones, No. 2, No Such Thing, The Spirit of the Beehive, The Old Fairy Tale: When the Sun Was God"
Blind Chance,"The Blind Side, The Second Chance, 71 Fragments of a Chronology of Chance, Chance, 4"
Princess Mononoke,"Valhalla, Howl's Moving Castle, Pom Poko, Pokémon: Lucario and the Mystery of Mew, Nausicaä of the Valley of the Wind"
Spirited Away,"Arthur and the Invisibles, Flushed Away, Return to Never Land, Kirikou and the Wild Beasts, Babar The Movie"
The Rolling Stones: Gimme Shelter,"The Rolling Stones: Cocksucker Blues, The Filth and the Fury, The Carter, Crossing the Bridge: The Sound of Istanbul, Bring on the Night"
Primary,"To Be and to Have, The Living Desert, Can Mr. Smith Get to Washington Anymore?, 9/11, The Bridge"
"O Brother, Where Art Thou?","A Friend Is a Treasure, Three Kings, Delta Farce, Two Missionaries, Go for It"
Dont Look Back,"Festival, No Direction Home: Bob Dylan, The Carter, Iron Maiden: Flight 666, The Last Waltz"
Freaks,"Bloodsucking Freaks, The Driller Killer, Hour of the Wolf, Rasputin: The Mad Monk, It's Gradiva Who Is Calling You"
Groundhog Day,"$5 a Day, L.A. Story, Miss Pettigrew Lives for a Day, Valentine's Day, The Family Man"
Dracula,"Dracula in Pakistan, Dracula A.D. 1972, Dracula's Dog, Count Dracula, Dracula II: Ascension"
Mifune,"Commandments, About a Boy, The Wedding Banquet, His Private Secretary, The Housekeeper"
Bad Education,"Bad Boys, Bad Guy, The Bad Sleep Well, An Education, Summer of Sam"
Donnie Darko,"The Magus, Photographing Fairies, Meet Joe Black, Fanny & Alexander, Ugetsu"
Brokeback Mountain,"In the Mood for Love, Vicky Cristina Barcelona, Talk to Her, Rent, Come Undone"
All Quiet on the Western Front,"All Quiet on the Western Front, Fires on the Plain, Devils on the Doorstep, Born on the Fourth of July, The Hill"
Wings of Desire,"City of Angels, Portrait of Jennie, A Matter of Life and Death, Law of Desire, Children of Paradise"
Breaking the Waves,"The Secret, The Voyeur, The Center of the World, Above the Street, Below the Water, The Princess and the Warrior"
"Crouching Tiger, Hidden Dragon","Green Dragon, Arn: The Knight Templar, Greystoke: The Legend of Tarzan, Lord of the Apes, First Knight, House of Flying Daggers"
The 400 Blows,"The D.I., The Inheritance, The Door in the Floor, The Farewell, The Keys of the Kingdom"
The Secret Life of Words,"The Life of Jesus, The Secret, The Secret, The Flower of My Secret, The Inner Life of Martin Frost"
Akira,"Kid's Story, Mobile Suit Gundam F91, Royal Space Force - The Wings Of Honneamise, Pale Cocoon, Plastic Little: The Adventures of Captain Tita"
48 Hrs.,"Another 48 Hrs., Heart of the Dragon, Bitch Slap, Family Business, Homegrown"
Star Trek: The Motion Picture,"Star Trek IV: The Voyage Home, Beneath the Planet of the Apes, Star Trek, Star Trek V: The Final Frontier, Star Trek III: The Search for Spock"
Lost in Translation,"Lost in Yonkers, Things We Lost in the Fire, In Bar, Lost Islands, Emmanuelle in Soho"
Star Trek II: The Wrath of Khan,"Star Trek V: The Final Frontier, Star Trek III: The Search for Spock, Star Trek VI: The Undiscovered Country, Star Trek: Insurrection, Star Trek: Generations"
The Dark Knight,"The Man on the Roof, The Way of the Gun, The Killing, The Protector, The Driver"
Wilbur Wants to Kill Himself,"How to Deal, Waiting to Exhale, Prelude to a Kiss, Return to Me, Dil To Pagal Hai"
Star Trek III: The Search for Spock,"Star Trek V: The Final Frontier, Star Trek VI: The Undiscovered Country, Star Trek II: The Wrath of Khan, Star Trek: Insurrection, Star Trek: Nemesis"
Knockin' on Heaven's Door,"Big Deal on Madonna Street, Police Academy 4: Citizens on Patrol, Tough Guys, Fun with Dick and Jane, The Sucker"
Maybe... Maybe Not,"Autumn Marathon, Dorian Blues, The Fluffer, The Vicious Kind, In Paris"
The Arrival of a Train at La Ciotat,"Encounters at the End of the World, End of the Century: The Story of The Ramones, The End of the Line, The Heart of the Game, Triumph of the Nerds: The Rise of Accidental Empires"
Ocean's Eleven,"Ocean's Eleven, Ocean's Thirteen, Ocean's Twelve, Shallow Grave, Joy Ride 2: Dead Ahead"
Edward Scissorhands,"What Dreams May Come, Wings of Desire, Be With You, Il Mare, Beauty and the Beast"
Ocean's Twelve,"Ocean's Eleven, Ocean's Thirteen, Ocean's Eleven, A Lady Without Passport, Shallow Grave"
Breakfast at Tiffany's,"Sex and Breakfast, Pauline at the Beach, Grande école, Friends with Money, Le Divorce"
Back to the Future Part II,"Back to the Future, Back to the Future Part III, The Hitchhiker's Guide to the Galaxy, Honey I Blew Up the Kid, Teenage Mutant Ninja Turtles II: The Secret of the Ooze"
The Party,"The Party 2, The Girl on the Bridge, The Tiger and the Snow, The Housekeeper, The Rules of the Game"
K-PAX,"The Wild Blue Yonder, The Man Who Fell to Earth, The World, the Flesh and the Devil, Robinson Crusoe on Mars, Moon"
Star Trek IV: The Voyage Home,"Star Trek, Star Trek: The Motion Picture, Star Trek III: The Search for Spock, Fantastic Voyage, Star Trek V: The Final Frontier"
Predator 2,"Predator, Aliens vs Predator: Requiem, AVP: Alien vs. Predator, Next, Déjà Vu"
28 Days Later,"28 Weeks Later, Quarantine, Dead Air, The Cell 2, Mimic 2"
The Party 2,"The Party, The Wedding Party, The Party, Bachelor Party 2: The Last Temptation, The Fox & the Child"
Star Trek V: The Final Frontier,"Star Trek III: The Search for Spock, Star Trek VI: The Undiscovered Country, Star Trek II: The Wrath of Khan, Star Trek: Generations, Star Trek: Insurrection"
"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea, 20,000 Leagues Under the Sea, 20,000 Leagues Under the Sea, Voyage to the Bottom of the Sea, Around the World Under the Sea"
Star Trek VI: The Undiscovered Country,"Star Trek V: The Final Frontier, Star Trek III: The Search for Spock, Star Trek II: The Wrath of Khan, Star Trek: Generations, Star Trek: Nemesis"
The Big Blue,"The Blue Lagoon, The Last Adventure, The Sheltering Sky, The Big Parade, The Pride and the Passion"
Saw,"Saw V, Saw VI, Saw IV, Saw III, Brutal"
The Fisher King,"The Sun King, The King of Comedy, I Served the King of England, The Idiots, The 11 Commandments"
Blown Away,"Blown Away, The Final Cut, Live Wire, The Bourne Supremacy, Dry Season"
The Interpreter,"The Night of the Hunter, The Badge, The Ministers, The Horseman, The Underneath"
Minority Report,"The Arrival, Inception, Pandorum, Ultraviolet, The Terminator"
The Good German,"The Deadly Affair, The Good Thief, The Crimson Kimono, The Bride Wore Black, In the Heat of the Night"
The Wizard,"The Sisterhood of the Traveling Pants 2, She's the Man, The Perfect Holiday, The Brothers Bloom, The Evening Star"
Jackie Brown,"Married to the Mob, How to Steal a Million, We're No Angels, So I Married an Axe Murderer, Out of Sight"
A Clockwork Orange,"Je t'aime, je t'aime, The World, the Flesh and the Devil, On the Beach, Enemy Mine, Threads"
Lucky Number Slevin,"Number Seventeen, The Number 23, Salton Sea, Dead Reckoning, The Bat Whispers"
Sin City,"Violent City, Sin City: A Dame to Kill For, Sin Nombre, Exiled, Hell Is a City"
Sin City: A Dame to Kill For,"Sin City, Dot.Kill, Hell Is a City, A Time to Kill, Born to Kill"
The Name of the Rose,"The Hound of the Baskervilles, Out of the Past, Eye of the Beholder, The Vanishing, Keeper of the Flame"
Star Trek: Generations,"Star Trek: Nemesis, Star Trek: Insurrection, Star Trek: First Contact, Star Trek, Star Trek V: The Final Frontier"
Amélie,"The Break-up Artist, Indiscreet, Just One of the Guys, Chasing Liberty, Christmas in Connecticut"
Trouble in Paradise,"In & Out, Christmas in July, Christmas in Connecticut, In the Navy, Fun in Acapulco"
Back to the Future Part III,"Back to the Future Part II, Back to the Future, The Hitchhiker's Guide to the Galaxy, Honey I Blew Up the Kid, Guest from the Future"
Braveheart,"The Last Samurai, 9th Company, The Patriot, Heaven & Earth, Sink the Bismarck!"
To Be or Not to Be,"To Be or Not to Be, Escape to Athena, Don't Look Now: We're Being Shot At, What Did You Do in the War, Daddy?, How I Won the War"
Star Trek: First Contact,"Star Trek: Insurrection, Star Trek: Nemesis, Star Trek: Generations, Star Trek, Star Trek V: The Final Frontier"
Star Trek: Insurrection,"Star Trek: Nemesis, Star Trek: Generations, Star Trek: First Contact, Star Trek, Star Trek V: The Final Frontier"
Star Trek: Nemesis,"Star Trek: Insurrection, Star Trek: Generations, Star Trek: First Contact, Star Trek, Star Trek V: The Final Frontier"
Mean Streets,"Mean Creek, G:MT Greenwich Mean Time, City Streets, Mickey One, The Friends of Eddie Coyle"
The Wages of Fear,"Lord of the Flies, Lord of the Flies, Flight of the Phoenix, Flight of the Intruder, The Flight of the Phoenix"
Hotel Rwanda,"Schindler's List, The Birth of a Nation, The Fall of the Roman Empire, Gods and Generals, Sometimes in April"
Paradise Found,"A Raisin in the Sun, Local Color, The Inheritance, Missing in America, White Mane"
Dead Poets Society,"The Dead, Dead Man Walking, Bringing Out the Dead, Stand and Deliver, One Flew Over the Cuckoo's Nest"
Berlin is in Germany,"Summer in Berlin, In Paris, Judy Berlin, All in, Everything is Illuminated"
Arsenic and Old Lace,"Emil and the Detectives, Lock, Stock and Two Smoking Barrels, Fun with Dick and Jane, Take the Money and Run, Short Time"
North by Northwest,"One on Top of the Other, The Da Vinci Code, Peacock, The Tall Target, The Black Castle"
Saw III,"Saw V, Saw IV, Saw, Poltergeist III, Psycho III"
Saw II,"Halloween II, Pet Sematary II, Dracula II: Ascension, Puppet Master II, 976-Evil II"
Ali: Fear Eats the Soul,"The Notebook, The Silence, The Reader, The Girl with the Red Scarf, The Remains of the Day"
Indiana Jones and the Kingdom of the Crystal Skull,"Indiana Jones and the Temple of Doom, Indiana Jones and the Last Crusade, The Legend of Zorro, The Mask of Zorro, The Arena"
The Terminator,"Terminator 3: Rise of the Machines, Terminator 2: Judgment Day, Terminator Salvation, The Interceptor, The Void"
Volver,"Then She Found Me, Home for the Holidays, In Her Shoes, Eat Drink Man Woman, Tortilla Soup"
East of Eden,"The Garden of Eden, East/West, Death of a Salesman, Mother of Mine, 71 Fragments of a Chronology of Chance"
Rebel Without a Cause,"Without Limits, Me Without You, The Man without a Face, Lorna, All the King's Men"
Berlin: Symphony of a Great City,"Of Time and the City, The Ascent of Money, Israel: Birth of a Nation, Jonestown: The Life and Death of Peoples Temple, The Celluloid Closet"
Rebecca,"Under the Sand, Citizen Kane, Agnes of God, Chase a Crooked Shadow, Tetro"
Man of Marble,"Man of Iron, The Passion of Joan of Arc, Gardens of Stone, Joan of Arc, The Elephant Man"
Man of Iron,"Man of Marble, Iron & Blood: The Legend of Taras Bulba, The Passion of Joan of Arc, Ghosts of Mississippi, Joan of Arc"
Boys Don't Cry,"Cry of the City, Bad Boys, Big Girls Don't Cry, Homicide, Straight Time"
The Outsiders,"The Criminal, The Face Behind the Mask, The Man of the Year, The Funeral, The Quickie"
The Blue Angel,"The Stone Angel, The D.I., Out of the Blue, The Door in the Floor, The Chosen"
Bride of Frankenstein,"Frankenstein, Son of Frankenstein, The Horror of Frankenstein, The Curse of Frankenstein, The Evil of Frankenstein"
Syriana,"Rendition, Overheard, The Message, Rage, The Zone"
Rumble Fish,"Radar Secret Service, Go Fish, Thieves, Little Fish, Beat the Devil"
The Wanderers,"The D.I., The Passion of the Christ, The Door in the Floor, The Work and the Glory II: American Zion, The Firm"
The Cabinet of Dr. Caligari,"The Testament of Dr. Mabuse, The Exorcism of Emily Rose, The Last House on the Left, The Hole, The Lost"
Stand by Me,"House by the River, Catch Me If You Can, Decoy, Gardens of the Night, The Worthless"
Muriel's Wedding,"Monsoon Wedding, The Wedding Banquet, The Wedding Photographer, My Big Fat Greek Wedding, Sione's Wedding"
Young Adam,"Adam, Pretty Poison, Revenge, Music Box, Alone With Her"
The Godfather,"The Godfather: Part II, The Face Behind the Mask, The Man of the Year, The Chamber, The Funeral"
Some Like It Hot,"That's It, It's Complicated, Married to It, Say It Isn't So, Mr. Fix It"
The Godfather: Part II,"The Godfather, The Godfather: Part III, The Funeral, The Man of the Year, The Quickie"
Natural Born Killers,"The Honeymoon Killers, Born to Kill, Helter Skelter, The Postman Always Rings Twice, On the Doll"
The Godfather: Part III,"The Godfather: Part II, The Godfather, The Deal, The Falcon and the Snowman, The Departed"
High Fidelity,"High Society, High Heels, Eight Miles High, High School Musical 3: Senior Year, Shall We Dance?"
King Kong,"King Kong, King Kong, King Kong Lives, King Kong vs. Godzilla, To Kill a King"
About a Boy,"Mama's Boy, Man About Town, All About Anna, About Last Night..., Much Ado About Nothing"
Zatoichi,"The Tale of Zatôichi, Zatôichi Meets the One-Armed Swordsman, Scaramouche, The Snow Walker, Zatôichi the Fugitive"
The Killing,"The Way of the Gun, The Driver, The Man on the Roof, The Line, The Hit"
Pocketful of Miracles,"House of D, Pieces of April, A Matter of Size, Father of Invention, Box of Moonlight"
The War of the Roses,"Beyond the Valley of the Dolls, The Talk of the Town, The Secret of the Grain, Into the Night, The Cable Guy"
In China They Eat Dogs,"Old Men in New Cars: In China They Eat Dogs II, Crooks in Clover, Even Angels Eat Beans, How to Rob a Bank, Bang, Boom, Bang"
Ghost,"The Ghost, Invisible Ghost, The Ghost and Mrs. Muir, Ghost Town, Ghost Ship"
Willy Wonka & the Chocolate Factory,"The Wonderful World of the Brothers Grimm, Barbara the Fair with the Silken Hair, Charlie and the Chocolate Factory, The Singing Ringing Tree, Where the Wild Things Are"
Live and Let Die,"You Only Live Twice, Die Another Day, Today You Die, Octopussy, To Live and Die in L.A."
King Kong,"King Kong, King Kong, To Kill a King, King Kong vs. Godzilla, King Kong Lives"
Stolen Kisses,"Bed and Board, Love on the Run, The Last Kiss, Alfie, Jump In!"
Antoine and Colette,"Blood and Bones, Day and Night, Clean and Sober, Times and Winds, Gods and Monsters"
Oliver Twist,"Oliver!, Oliver Twist, Oliver & Company, Scrooge, 25th Hour"
Bed and Board,"Husbands and Wives, Harold and Maude, Boys and Girls, Peter and Vandy, Pat and Mike"
Love on the Run,"The Last Run, The Love Letter, The Girl on the Bridge, The Triumph of Love, Moscow on the Hudson"
The 39 Steps,"The 39 Steps, The Mod Squad, A Shriek in the Night, The Substitute 2: School's Out, Three Days of the Condor"
Cat on a Hot Tin Roof,"Fiddler on the Roof, Head-On, Notes on a Scandal, Vanya on 42nd Street, Water Drops on Burning Rocks"
The King of Comedy,"I Served the King of England, The Secret of the Grain, The Adventures of Priscilla, Queen of the Desert, King of California, The Bonfire of the Vanities"
Lili Marleen,"The Last Metro, Death In Love, Ship of Fools, The Big Parade, Dear John"
Contempt,"Sunset Boulevard, Kes, Les Cousins, A Real Young Girl, Cradle Will Rock"
Live Flesh,"Live from Baghdad, Angel Eyes, Blown Away, Uncertainty, Flesh"
Batman,"Batman Returns, Batman & Robin, Batman Forever, Batman Begins, Batman vs Dracula"
Breathless,"Breathless, Breathless, Assassin(s), The Young Lieutenant, The Sugarland Express"
Ronja Robbersdaughter,"The Neverending Story II: The Next Chapter, Into the West, The NeverEnding Story, The Seeker: The Dark Is Rising, Wizards of Waverly Place: The Movie"
Batman Begins,"Batman Forever, Batman, Batman & Robin, Streets of Blood, Walking Tall"
The White Sound,"The White Massai, The D.I., The Great White Hope, The Profit, The Door in the Floor"
The Silence of the Lambs,"The Lodger: A Story of the London Fog, The Town, Prince of the City, The Taking of Pelham 1 2 3, The Falcon and the Snowman"
Fargo,"Three Way, Dead Man's Shoes, Five Miles to Midnight, 52 Pick-Up, Cord"
The Edukators,"The Castle, The Bonfire of the Vanities, The Secret of the Grain, The Squid and the Whale, The Executioner"
Underworld,"Underworld: Evolution, Underworld U.S.A., Night Watch, Underworld: Rise of the Lycans, V for Vendetta"
The Shawshank Redemption,"Redemption: The Stan Tookie Williams Story, The Chamber, The Face Behind the Mask, The Domino Principle, The Man of the Year"
Amadeus,"El cantante, Cadillac Records, Jesus Christ Superstar, Evita, The Glenn Miller Story"
Terminator 2: Judgment Day,"The Terminator, Terminator Salvation, Terminator 3: Rise of the Machines, Cyborg 3: The Recycler, The Day After Tomorrow"
Strange Days,"Three Days, 5ive Days to Midnight, The Element of Crime, The Butterfly Effect 3: Revelations, Frequency"
The Apartment,"The Spanish Apartment, The Tiger and the Snow, The Alibi, The Girl on the Bridge, The Witches"
Pirates of the Caribbean: At World's End,"Pirates of the Caribbean: The Curse of the Black Pearl, Pirates of the Caribbean: Dead Man's Chest, Pirates of the Caribbean: On Stranger Tides, The Lord of the Rings: The Return of the King, The Lord of the Rings: The Fellowship of the Ring"
Germany: A Summer's Fairytale,"The Endless Summer 2, The Endless Summer, Maradona by Kusturica, An Unreasonable Man, Shadow Company"
Bull Durham,"Bunny and the Bull, Mr. Baseball, Father of the Bride, Now You Know, The Break-up Artist"
High Noon,"High Plains Drifter, Hang 'em High, The War Wagon, For a Few Dollars More, Firecreek"
Casablanca,"The Sun Also Rises, Stay as You Are, The Golden Bowl, Suzanne's Diary for Nicholas, Hideous Kinky"
Barton Fink,"My One and Only, Monster in a Box, Two Days, The Rum Diary, How to Kill Your Neighbor's Dog"
Riding Giants,"Stoked: The Rise And Fall Of Gator, The Endless Summer, Surfwise, On Any Sunday, Gigantic (A Tale Of Two Johns)"
Dave Chappelle's Block Party,"Beach Party, Dave, Wattstax, Fade to Black, Scratch"
A River Runs Through It,"Frozen River, It's My Party, Whip It, I Just Didn't Do It, It All Starts Today"
Desert Hearts,"Open Hearts, Random Hearts, Love Stories, The Two Worlds of Jennie Logan, Nine 1/2 Weeks"
Terminator 3: Rise of the Machines,"The Terminator, Terminator Salvation, Terminator 2: Judgment Day, The Book of Eli, G.I. Joe: The Rise of Cobra"
